word,chinese,alias
range of English level,英语水平的范围
rapid population growth,原材料
raw materials,快速人口增长
rare lions,罕见的狮子
rare species,稀有物种
rare fish,稀有鱼类
reach one's destination,到达目的地
readers,读者
reading habits,阅读习惯
reading hits,阅读技巧
reading list,书单，阅读清单
reading session,阅读课
recall library books,要求归还图书馆图书
recall system,图书查询系统
receive prizes,收到奖品
reception area,接待处
reception centre,接待处
reception desk,接待处
recreation therapy,娱乐疗法
recruiting method,招聘方法
recycling material,回收材料
Red Flag,一家保险公司的名称
red kangaroo,红袋鼠
red meat,红肉
reference books,参考书目
reference skills,参考技能
reference stacks,书库
refresher course,进修课
registered mail,挂号信
regular meetings,定期召开的会议
regulations,规则
reinforced by wood and steel,关于
relate to,由木头和钢材加固
remain steady,保持稳定
replacement of jobs,换工作
replacement policy,替代政策
required course,必修课
research approach,研究方法
research assistant,助理研究员
research findings,研究结果
research methods,科研方法；搜集数据的方式
research opportunities,科研机会
research results,研究结果
research source,研究来源
resident student,当地学生
residential college,大学里的寄宿学院
resistance from parents,资源管理
resource management,来自家长的反对
resource protection,资源保护
resource sharing,资源共享
resources room,资源中心
respect the local environment,归因于
result from,导致
result in,保护当地环境
review of literature,文献综述
review promptly,立刻复习
rice cultivation,水稻培养
Riverside Restaurant,河边餐厅（餐厅名称）
Rose Lane,玫瑰小巷（路名）
robots,机器人
rock salt,岩盐
romance story,爱情片
Rose Garden,玫瑰花园（地名）
row house,联排房屋（美）
round trip ticket,往返票
round trip,往返
route map,路线图
road map,道路图
royal commission,皇家委员会；英国皇家专门调查委员会
rubber blanket,橡胶毯
rubber tree,橡胶树
rules and regulations,规章制度
run risks,冒风险
running facilities,跑步的设施
running tunnel,行车隧道
rural area,乡下地区
role of staff,员工的角色
rush hour,交通高峰期
safety check,安全检查
safety helmet,安全头盔
safety helmets,安全头盔
sales team,销售小组
safety office,保卫处
safety regulations,安全规则
Silent Island,CD名称
sandglass clock,沙漏
satellite TV station,卫星电视台
School of Arts and Sciences,校服
school uniform,科幻片
science fiction,文理学院
science museum,科技博物馆
scientific approach,科学方法
scientific research,科学研究
scores,分数
sea otter,海獭
sea urchin,海胆
sea watch,海洋监测
seafood restaurant,海鲜店
seat belt,安全带
seating capacity,容纳观众人数
second floor,二楼（美）；三楼（英）
second-hand textbooks,二手教材
secondary school,中学
second-year student,大二学生（英）
sedentary lifestyle,久坐的生活方式
selection method,选择方法
self-access lab,自学实验室
self-defense,自卫
self-service restaurant,自助餐厅
senior advisor,资深督导师,adviser
senior manager,高级经理
senior staff,高级员工
sense of achievement,成就感
sense of success,成就感
sensible exercise,合适的运动
sentences,句子
service manager,服务经理
set money aside,存钱
shared bathroom,共用卫生间
shared social area,公共活动区
shear the sheep,剪羊毛
sheep and cattle,畜群；羊和牛
sheep shearing,剪羊毛
shift work,倒班
shop assistant,售货员
shop manager,商店经理
shopping centre,购物中心
shopping list,购物清单
shopping mall,购物中心
shortage of money,缺钱
sick note,病假条
side effects,副作用
safari zoo,野生动物园
safari park,野生动物园
similar experiments,相似实验
single item,单件物品
size of population,人口规模（也可以指动物数量的多少)
size of sample,样本的大小
silver cloth,银布
m,m
m,m
